buy_service_id,spm_kpi_tt,tt_flag
N1399990,,
N1399987,,
N1399985,,
N1399988,,
N1432324,Correct,1
N1409759,,
N1399984,,
N1409758,,
N1399983,,
N1399980,,
N1509648,,
N1399978,Incorrect,1
N1399974,,
N1399977,,
N1399971,,
N1399973,,
N1399966,,
N1399970,,
N1399972,,
N1399961,,
N1399958,,
N1398504,,
N1399962,Incorrect,1
N1399956,,
N1399957,,
N1399955,,
N1399952,,
N1399948,,
N1399949,,
N1399946,,
N1400114,,
N1400112,,
N1400110,,
N1400109,,
N1400108,,
N1400107,,
N1400106,,
N1400103,,
N1400104,,
N1400100,,
N1400099,,
N1400101,,
N1400098,,
N1400102,,
N1400089,,
N1400091,,
N1400092,,
N1400086,,
N1400083,,
N1400082,,
N1400081,,
N1400078,,
N1415409,,
N1399292,,
N1415411,,
N1415412,Correct,1
N1400069,,
N1415427,,
N1415425,,
N1394473,Correct,1
N1546613,,
N1531313,Correct,1
N1535112,,
N1400066,,
N1400067,,
N1400059,,
N1400064,,
N1400062,,
N1400060,,
N1400056,,
N1400055,,
N1400054,Correct,1
N1400052,,
N1400057,,
N1400053,,
N1400050,,
N1400041,,
N1400046,,
N1400044,,
N1400047,,
N1400038,,
N1400039,,
N1400033,,
N1400030,,
N1410960,,
N1410961,,
N1399851,,
N1410959,,
N1399849,,
N1397129,,
N1399847,,
N1399845,,
N1399843,,
N1399780,,
N1399858,,
N1399841,,
N1394509,,
N1399837,,
N1399832,,
N1399827,,
N1399828,,
N1399821,,
N1399829,,
N1399818,,
N1399815,,
N1399819,,
N1399816,,
N1399812,,
N1399809,,
N1399807,,
N1399806,,
N1399805,,
N1405487,Correct,1
N1399794,,
N1399801,,
N1399795,Correct,1
N1399790,,
N1399797,,
N1399787,,
N1399783,,
N1437938,,
N1399778,,
N1399779,Correct,1
N1399777,,
N1399773,,
N1437940,,
N1399947,,
N1399945,,
N1399944,,
N1399943,,
N1399942,,
N1399940,,
N1399941,,
N1399936,,
N1399929,,
N1399932,,
N1399933,,
N1399931,,
N1399930,,
N1399928,,
N1399920,,
N1399925,,
N1399914,,
N1399917,,
N1399913,,
N1399912,,
N1394809,Correct,1
N1399915,,
N1399900,,
N1399903,,
N1399895,,
N1399897,,
N1399892,,
N1399898,,
N1407886,Correct,1
N1399893,,
N1399888,,
N1399885,,
N1399890,,
N1399889,,
N1399881,,
N1399873,,
N1399879,,
N1399868,,
N1399874,,
N1399864,,
N1399875,,
N1399870,Correct,1
N1399869,,
N1399860,,
N1399854,,
N1399855,,
N1399852,,
N1407507,,
N1400985,,
N1400984,,
N1400975,,
N1400986,,
N1400978,,
N1400977,,
N1400957,,
N1400956,,
N1400953,,
N1400954,,
N1400950,,
N1400947,,
N1400948,,
N1400949,,
N1400852,,
N1400877,,
N1400851,,
N1404098,,
N1400878,,
N1400839,,
N1400838,,
N1400818,,
N1400815,,
N1400814,,
N1400816,,
N1400880,,
N1400881,,
N1400867,,
N1400866,,
N1401116,,
N1401117,,
N1401115,,
N1401113,,
N1401114,,
N1401112,,
N1401111,,
N1401110,,
N1402722,,
N1402723,,
N1401107,,
N1401108,,
N1401106,,
N1401105,,
N1401103,,
N1401104,,
N1401101,,
N1401102,,
N1401100,,
N1401099,,
N1401098,,
N1401096,,
N1401097,,
N1401094,,
N1401095,,
N1401091,,
N1401090,,
N1401089,,
N1401086,,
N1401085,,
N1401084,,
N1401082,,
N1401083,,
N1401081,,
N1401079,,
N1401080,,
N1401077,,
N1401078,,
N1401076,,
N1401075,,
N1401074,,
N1401073,,
N1401071,,
N1401877,,
N1401879,,
N1401878,,
N1401170,,
N1401172,,
N1401171,,
N1401168,,
N1401169,,
N1401167,,
N1401166,,
N1401165,,
N1401164,,
N1401163,,
N1401162,,
N1401160,,
N1401161,,
N1401158,,
N1401159,,
N1401156,,
N1401157,,
N1401153,,
N1401152,,
N1401148,,
N1401147,,
N1401149,,
N1401126,,
N1401127,,
N1401125,,
N1401124,,
N1401123,,
N1401122,,
N1401121,,
N1401120,,
N1401119,,
N1401118,,
N1401032,,
N1401034,,
N1401033,,
N1401029,,
N1401031,,
N1401030,,
N1401027,,
N1401028,,
N1401026,,
N1401025,,
N1401024,,
N1401023,,
N1401015,,
N1401016,,
N1401017,,
N1401013,,
N1401012,,
N1401014,,
N1401003,,
N1401001,,
N1407508,,
N1401000,,
N1401004,,
N1400999,,
N1400998,,
N1539247,,
N1401066,,
N1401051,,
N1401050,,
N1401049,,
N1401048,,
N1401047,,
N1401043,,
N1401042,,
N1401041,,
N1401039,,
N1401036,,
N1401038,,
N1401037,,
N1558435,,
N1542440,,
N1541920,,
N1552224,,
N1539061,,
N1495527,,
N1554471,,
N1517965,Correct,1
N1397918,,
N1397916,,
N1397910,,
N1395884,,
N1397907,,
N1397912,,
N1397913,,
N1397905,,
N1397942,,
N1397908,,
N1397909,,
N1395893,,
N1397903,,
N1397901,,
N1397902,,
N1397897,,
N1397892,,
N1397898,,
N1397899,,
N1397896,,
N1397894,,
N1397895,,
N1397888,,
N1397891,,
N1397886,,
N1397893,,
N1397889,,
N1397890,,
N1397883,,
N1397885,,
N1397880,,
N1397876,,
N1397882,,
N1397884,,
N1397873,,
N1397878,,
N1397879,,
N1397877,,
N1397875,,
N1397874,,
N1397872,,
N1397871,,
N1397867,,
N1397869,,
N1397868,,
N1397863,,
N1395873,,
N1397860,,
N1397866,,
N1397862,,
N1397856,,
N1397861,,
N1397864,,
N1397859,,
N1397857,,
N1397854,,
N1397858,,
N1397850,,
N1397855,,
N1397852,,
N1397848,,
N1397853,,
N1397975,,
N1397983,,
N1397978,,
N1397980,,
N1397979,,
N1413438,Correct,1
N1397977,,
N1397974,,
N1397972,,
N1397967,,
N1397970,,
N1397971,,
N1397968,,
N1397966,,
N1397962,,
N1397960,,
N1397963,,
N1397964,,
N1397965,,
N1397958,,
N1397953,,
N1397959,,
N1397956,,
N1397954,,
N1397952,,
N1397950,,
N1397946,,
N1397951,,
N1397943,,
N1397949,,
N1397948,,
N1397941,,
N1397944,,
N1397945,,
N1397938,,
N1397939,,
N1397940,,
N1397936,,
N1397937,,
N1397935,,
N1397931,,
N1397926,,
N1397933,,
N1397932,,
N1397928,,
N1397921,,
N1397929,,
N1397925,,
N1397922,,
N1397917,,
N1397924,,
N1397914,,
N1397923,,
N1397777,,
N1397774,,
N1397768,,
N1397773,,
N1397775,,
N1397770,,
N1397769,,
N1397767,,
N1397764,,
N1397765,,
N1397763,,
N1397760,,
N1397766,,
N1397756,,
N1397761,,
N1397762,,
N1397752,,
N1397755,,
N1397757,,
N1397758,,
N1397748,,
N1397754,,
N1397753,,
N1397750,,
N1397749,,
N1397746,,
N1397745,,
N1397741,,
N1397743,,
N1397736,,
N1397744,,
