sale_service_id,cp_MissingAWB,cp_missing_awb_reportdate
01GJJL1,Incorrect,26/12/2022
01GJFVY,Incorrect,26/12/2022
01GJQA9,Incorrect,26/12/2022
01GJNX9,Incorrect,26/12/2022
01GJNX3,Incorrect,26/12/2022
01GJKHL,Incorrect,26/12/2022
01GJKYD,Incorrect,26/12/2022
01GJMKM,Incorrect,26/12/2022
01GJ9H1,Incorrect,26/12/2022
01GJ9GY,Incorrect,26/12/2022
01GJ9GV,Incorrect,26/12/2022
01GJAX4,Incorrect,26/12/2022
01GKCL2,Incorrect,26/12/2022
01GKCQM,Incorrect,26/12/2022
01GKC3T,Incorrect,26/12/2022
01GKAWX,Incorrect,26/12/2022
01GKE0R,Incorrect,26/12/2022
01GKEF7,Incorrect,26/12/2022
01GKDP0,Incorrect,26/12/2022
01GK8VE,Incorrect,26/12/2022
01GK94M,Incorrect,26/12/2022
01GK99L,Incorrect,26/12/2022
01GK99C,Incorrect,26/12/2022
01GJWH5,Incorrect,26/12/2022
01GK005,Incorrect,26/12/2022
01GK0H6,Incorrect,26/12/2022
01GK0ME,Incorrect,26/12/2022
01GK0LN,Incorrect,26/12/2022
01GJYV2,Incorrect,26/12/2022
01GK52D,Incorrect,26/12/2022
01GK5NJ,Incorrect,26/12/2022
01GK5NA,Incorrect,26/12/2022
01GK5N7,Incorrect,26/12/2022
01GK5MG,Incorrect,26/12/2022
01GK5GX,Incorrect,26/12/2022
01GK1U4,Incorrect,26/12/2022
01GK1RM,Incorrect,26/12/2022
01GK1KM,Incorrect,26/12/2022
01GK0N3,Incorrect,26/12/2022
01GK2CF,Incorrect,26/12/2022
01GHQFK,Incorrect,26/12/2022
01GHQFD,Incorrect,26/12/2022
01GHM05,Incorrect,26/12/2022
01GHLXU,Incorrect,26/12/2022
01GHLJ7,Incorrect,26/12/2022
01GHLQU,Incorrect,26/12/2022
01GHVWM,Incorrect,26/12/2022
01GHVWH,Incorrect,26/12/2022
01GHVYG,Incorrect,26/12/2022
01GHX4T,Incorrect,26/12/2022
01GH6VL,Incorrect,26/12/2022
01GHHRP,Incorrect,26/12/2022
01GHDAQ,Incorrect,26/12/2022
01G9A3G,Incorrect,26/12/2022
01G69D1,Incorrect,26/12/2022
01G69F8,Incorrect,26/12/2022
01G69FW,Incorrect,26/12/2022
01GC1NX,Incorrect,26/12/2022
01GDH87,Incorrect,26/12/2022
01GDH86,Incorrect,26/12/2022
01GAMRT,Incorrect,26/12/2022
01GC1P3,Incorrect,26/12/2022
