sale_service_id,pickup_reason_code_status,delivery_reason_code_status
01FX1AP,Updated RC,Updated RC
01GE9UW,RC no needed,RC no needed
01FQ0L4,Updated RC,Updated RC
01G9U5R,RC no needed,Updated RC
01GEK0R,Updated RC,RC no needed
01FXJ4R,Updated RC,Updated RC
01FU0P1,Updated RC,Updated RC
01FQ0N5,RC no needed,Updated RC
01G7ER3,Updated RC,Updated RC
01G7ER9,Updated RC,Updated RC
01G7W36,RC no needed,Updated RC
01G7ER6,Updated RC,Updated RC
01G7D21,RC no needed,Updated RC
01FPR51,Updated RC,Updated RC
01GEQ5Q,RC no needed,Updated RC
01G7W38,RC no needed,Updated RC
01FK9GP,Updated RC,Updated RC
01FXJ4M,Updated RC,Updated RC
01GEN51,Updated RC,Updated RC
01GEXW1,RC no needed,Updated RC
01GL82K,RC no needed,RC no needed
01FNWLE,Updated RC,Updated RC
01G7CVY,RC no needed,Updated RC
01FTJEQ,Updated RC,Updated RC
01G4MFC,RC no needed,Updated RC
01FQ38V,Updated RC,Missing RC
01FK96E,Updated RC,Updated RC
01GEAXT,Updated RC,Updated RC
01FNWRV,Updated RC,Updated RC
01FK9GU,Updated RC,Updated RC
01GEACP,RC no needed,Updated RC
01FK9GR,Updated RC,Updated RC
01G5NUF,Updated RC,Updated RC
01FQ0QP,Updated RC,Updated RC
01G4JW7,RC no needed,RC no needed
01GEEDU,RC no needed,RC no needed
01FMCGM,Updated RC,Updated RC
01GEXVF,RC no needed,Updated RC
01GAT6N,RC no needed,Updated RC
01G5NV4,Updated RC,Updated RC
01FK9GT,Updated RC,Updated RC
01G5GW9,Updated RC,Updated RC
01FQ37H,Updated RC,Updated RC
01G3CHR,Updated RC,Updated RC
01FLXAW,Updated RC,Updated RC
01FK9GQ,Updated RC,Updated RC
01FLXC0,Updated RC,Updated RC
01GFEVW,Updated RC,Updated RC
01FT87C,Updated RC,Updated RC
01FK9GN,Updated RC,Updated RC
01GD0R1,RC no needed,RC no needed
01GK1RM,RC no needed,Updated RC
01GAU7R,Updated RC,RC no needed
01GGYPY,Updated RC,Updated RC
01GJNX3,RC no needed,Updated RC
01GH70X,RC no needed,Updated RC
01GALHX,Updated RC,Updated RC
01GGV5V,RC no needed,Updated RC
01GG36C,RC no needed,Updated RC
01GK1VC,Updated RC,Updated RC
01GFF4M,Updated RC,Updated RC
01GH2M3,RC no needed,Updated RC
01GHDAE,RC no needed,Updated RC
01G7XU6,RC no needed,RC no needed
01GCYF9,RC no needed,Updated RC
01GDQV8,RC no needed,Updated RC
01G79TC,Updated RC,Updated RC
01GJNX9,Updated RC,RC no needed
01FULFR,Updated RC,Updated RC
01GK5GX,Updated RC,RC no needed
01G93R4,RC no needed,Updated RC
01G9GEA,Updated RC,Updated RC
01G6297,Updated RC,Updated RC
01GEX45,RC no needed,Updated RC
01G93H1,RC no needed,Updated RC
01G8YR6,RC no needed,Updated RC
01G9N4H,RC no needed,Updated RC
01G9A44,Updated RC,Updated RC
01GG0HE,Updated RC,RC no needed
01G9TKY,RC no needed,Updated RC
01GARWH,Updated RC,RC no needed
01G9AMJ,RC no needed,Updated RC
01G9AMH,RC no needed,Updated RC
01GJHRX,RC no needed,Updated RC
01GH70M,RC no needed,Updated RC
01GH705,RC no needed,Updated RC
01GDCYM,Updated RC,RC no needed
01G8YPK,Updated RC,Updated RC
01GHW3L,RC no needed,Updated RC
01G8YRC,RC no needed,Updated RC
01G9AA3,RC no needed,Updated RC
01GJEET,RC no needed,Missing RC
01GDD1Y,Updated RC,RC no needed
01G8KGH,RC no needed,Updated RC
01GAH3F,Updated RC,Updated RC
01GFA6Y,Updated RC,Updated RC
01GCAQP,Updated RC,Updated RC
01GDAU0,RC no needed,RC no needed
01G5K4K,Updated RC,Updated RC
01G0DUL,Updated RC,Updated RC
01GGGTH,RC no needed,Updated RC
01G6A4Y,RC no needed,Updated RC
01GFA72,RC no needed,Updated RC
01G9TNY,RC no needed,Updated RC
01GAN9H,Updated RC,Updated RC
01GK1U4,Updated RC,RC no needed
01G6VRR,Updated RC,RC no needed
01GAT0W,RC no needed,RC no needed
01GCG81,RC no needed,RC no needed
01G5449,RC no needed,RC no needed
01GAU7H,RC no needed,Updated RC
01G5419,RC no needed,RC no needed
